subid,slidenumber,condition,rawDT,age_months,milliDT,logDT,logDT_win,slide_num_adj,run,slide_type,pix_change,pix_adj
BC74,36,nothing,0.817,33,817,2.912222057,2.912222057,14,second,within,3760258.053,6.539124327
BC74,37,nothing,1.343,33,1343,3.128076013,3.128076013,15,second,within,3688629.216,6.414561102
BC74,38,nothing,1.735,33,1735,3.239299479,3.239299479,16,second,within,3413116.095,5.935441178
BC74,39,nothing,0.663,33,663,2.821513528,2.821513528,17,second,boundary,3009250.871,5.233115733
BC74,40,nothing,0.732,33,732,2.864511081,2.864511081,18,second,within,3632366.182,6.316719153
BC74,41,nothing,0.637,33,637,2.804139432,2.804139432,19,second,within,3885994.192,6.757780662
BJ59,3,nothing,0.406,31,406,2.608526034,2.608526034,2,first,boundary,3381826.49,5.881028259
BJ59,4,nothing,1.388,31,1388,3.142389466,3.142389466,3,first,within,3882150.485,6.751096419
BJ59,5,nothing,1.171,31,1171,3.068556895,3.068556895,4,first,within,4296483.591,7.47162561
BJ59,6,nothing,0.987,31,987,2.994317153,2.994317153,5,first,within,4031697.099,7.011159396
BJ59,7,nothing,2.577,31,2577,3.411114419,3.411114419,6,first,within,4639716.692,8.06851122
BJ59,8,nothing,2.211,31,2211,3.344588743,3.344588743,7,first,within,5105712.6,8.878882513
BJ59,9,nothing,3.404,31,3404,3.531989551,3.531989551,8,first,within,6466129.029,11.24465955
BJ59,10,nothing,1.36,31,1360,3.133538908,3.133538908,9,first,boundary,5526230.268,9.610166715
BJ59,11,nothing,3.312,31,3312,3.520090328,3.520090328,10,first,within,5664133.439,9.849981634
BJ59,12,nothing,1.71,31,1710,3.23299611,3.23299611,11,first,within,5079969.27,8.834114618
BJ59,13,nothing,2.357,31,2357,3.372359583,3.372359583,12,first,within,4574287.827,7.954729805
BJ59,14,nothing,2.488,31,2488,3.395850376,3.395850376,13,first,within,3920132.597,6.817147671
BJ59,15,nothing,2.202,31,2202,3.342817315,3.342817315,14,first,within,3760258.053,6.539124327
BJ59,16,nothing,1.151,31,1151,3.061075324,3.061075324,15,first,within,3688629.216,6.414561102
BJ59,17,nothing,0.807,31,807,2.906873535,2.906873535,16,first,within,3413116.095,5.935441178
BJ59,18,nothing,0.701,31,701,2.845718018,2.845718018,17,first,boundary,3009250.871,5.233115733
BJ59,19,nothing,0.84,31,840,2.924279286,2.924279286,18,first,within,3632366.182,6.316719153
BJ59,20,nothing,0.989,31,989,2.995196292,2.995196292,19,first,within,3885994.192,6.757780662
BJ59,24,nothing,1.781,31,1781,3.250663919,3.250663919,2,second,boundary,3381826.49,5.881028259
BJ59,25,nothing,3.012,31,3012,3.478854968,3.478854968,3,second,within,3882150.485,6.751096419
BJ59,26,nothing,1.654,31,1654,3.218535505,3.218535505,4,second,within,4296483.591,7.47162561
BJ59,27,nothing,0.691,31,691,2.839478047,2.839478047,5,second,within,4031697.099,7.011159396
BJ59,28,nothing,1.55,31,1550,3.190331698,3.190331698,6,second,within,4639716.692,8.06851122
BJ59,29,nothing,1.174,31,1174,3.069668097,3.069668097,7,second,within,5105712.6,8.878882513
BJ59,30,nothing,2.774,31,2774,3.443106457,3.443106457,8,second,within,6466129.029,11.24465955
BJ59,31,nothing,0.628,31,628,2.797959644,2.797959644,9,second,boundary,5526230.268,9.610166715
BJ59,32,nothing,0.637,31,637,2.804139432,2.804139432,10,second,within,5664133.439,9.849981634
BJ59,33,nothing,1.021,31,1021,3.009025742,3.009025742,11,second,within,5079969.27,8.834114618
BJ59,34,nothing,0.517,31,517,2.713490543,2.713490543,12,second,within,4574287.827,7.954729805
BJ59,35,nothing,1.079,31,1079,3.033021445,3.033021445,13,second,within,3920132.597,6.817147671
BJ59,36,nothing,0.89,31,890,2.949390007,2.949390007,14,second,within,3760258.053,6.539124327
BJ59,37,nothing,1.766,31,1766,3.246990699,3.246990699,15,second,within,3688629.216,6.414561102
BJ59,38,nothing,1.565,31,1565,3.194514342,3.194514342,16,second,within,3413116.095,5.935441178
BJ59,39,nothing,1.82,31,1820,3.260071388,3.260071388,17,second,boundary,3009250.871,5.233115733
BJ59,40,nothing,0.537,31,537,2.729974286,2.729974286,18,second,within,3632366.182,6.316719153
BJ59,41,nothing,0.787,31,787,2.895974732,2.895974732,19,second,within,3885994.192,6.757780662
BS55,3,straight,0.425,48,425,2.62838893,2.62838893,2,first,boundary,2100816.677,3.653340075
BS55,4,straight,0.407,48,407,2.609594409,2.609594409,3,first,within,2540182.271,4.417401
BS55,5,straight,0.35,48,350,2.544068044,2.544068044,4,first,within,2855130.673,4.96509925
BS55,6,straight,0.368,48,368,2.565847819,2.565847819,5,first,within,2170487.839,3.774498885
BS55,7,straight,0.335,48,335,2.525044807,2.525044807,6,first,within,2750928.547,4.783890768
BS55,8,straight,0.337,48,337,2.527629901,2.527629901,7,first,within,2848838.563,4.954157212
BS55,9,straight,0.338,48,338,2.5289167,2.5289167,8,first,within,2861937.389,4.976936194
BS55,10,straight,0.316,48,316,2.499687083,2.499687083,9,first,boundary,3281474.485,5.706515173
BS55,11,straight,0.335,48,335,2.525044807,2.525044807,10,first,within,2725385.892,4.739471849
BS55,12,straight,0.304,48,304,2.482873584,2.482873584,11,first,within,3071174.187,5.340800965
BS55,13,straight,0.323,48,323,2.509202522,2.509202522,12,first,within,2919486.232,5.077014176
BS55,14,straight,0.333,48,333,2.522444234,2.522444234,13,first,within,2850562.081,4.957154426
BS55,15,straight,0.295,48,295,2.469822016,2.469822016,14,first,within,2950079.175,5.130215594
BS55,16,straight,0.315,48,315,2.498310554,2.498310554,15,first,within,3058855.145,5.319378035
BS55,17,straight,0.341,48,341,2.532754379,2.532754379,16,first,within,2920139.348,5.078149951
BS55,18,straight,0.359,48,359,2.555094449,2.555094449,17,first,boundary,2631071.776,4.575458709
BS55,19,straight,0.359,48,359,2.555094449,2.555094449,18,first,within,3168435.068,5.509938557
BS55,20,straight,0.353,48,353,2.547774705,2.547774705,19,first,within,3096749.694,5.385277014
BS55,24,straight,0.316,48,316,2.499687083,2.499687083,2,second,boundary,2100816.677,3.653340075
BS55,25,straight,0.343,48,343,2.53529412,2.53529412,3,second,within,2540182.271,4.417401
BS55,26,straight,0.385,48,385,2.58546073,2.58546073,4,second,within,2855130.673,4.96509925
BS55,27,straight,0.608,48,608,2.783903579,2.783903579,5,second,within,2170487.839,3.774498885
BS55,28,straight,0.311,48,311,2.492760389,2.492760389,6,second,within,2750928.547,4.783890768
BS55,29,straight,0.266,48,266,2.424881637,2.424881637,7,second,within,2848838.563,4.954157212
BS55,30,straight,0.302,48,302,2.480006943,2.480006943,8,second,within,2861937.389,4.976936194
BS55,31,straight,0.441,48,441,2.644438589,2.644438589,9,second,boundary,3281474.485,5.706515173
BS55,32,straight,0.335,48,335,2.525044807,2.525044807,10,second,within,2725385.892,4.739471849
BS55,33,straight,0.361,48,361,2.557507202,2.557507202,11,second,within,3071174.187,5.340800965
BS55,34,straight,0.322,48,322,2.507855872,2.507855872,12,second,within,2919486.232,5.077014176
